epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.39015817642211914,0.7185379266738892,0.01,0.559440553188324,0.6810757517814636
1,0.6924428939819336,0.6570982933044434,0.01,0.8041958212852478,0.6237071752548218
2,0.8576449751853943,0.60550856590271,0.01,0.8881118893623352,0.5747414827346802
3,0.9050966501235962,0.5606443285942078,0.01,0.9370629191398621,0.5313023924827576
4,0.945518434047699,0.520348310470581,0.01,0.9440559148788452,0.4919513165950775
5,0.9543058276176453,0.4837452471256256,0.01,0.9510489702224731,0.45591142773628235
6,0.9613356590270996,0.4500337243080139,0.01,0.9580419659614563,0.42284783720970154
7,0.9683655500411987,0.41914796829223633,0.01,0.9650349617004395,0.3926168978214264
8,0.9701230525970459,0.3907792866230011,0.01,0.9650349617004395,0.3649349510669708
9,0.9683655500411987,0.3647207021713257,0.01,0.9650349617004395,0.33974170684814453
10,0.9666081070899963,0.34105077385902405,0.01,0.9650349617004395,0.31689080595970154
11,0.9683655500411987,0.31939172744750977,0.01,0.9650349617004395,0.29617100954055786
12,0.9683655500411987,0.2997955083847046,0.01,0.9650349617004395,0.2775965631008148
13,0.9683655500411987,0.28199777007102966,0.01,0.9650349617004395,0.26101773977279663
14,0.9683655500411987,0.2658831477165222,0.01,0.9720279574394226,0.24588792026042938
15,0.9683655500411987,0.2513366639614105,0.01,0.9720279574394226,0.2323717474937439
16,0.9683655500411987,0.2381829172372818,0.01,0.9720279574394226,0.220046728849411
17,0.9683655500411987,0.22622352838516235,0.01,0.9720279574394226,0.20898936688899994
18,0.9683655500411987,0.21544258296489716,0.01,0.9720279574394226,0.1990770399570465
19,0.9683655500411987,0.20560447871685028,0.01,0.9720279574394226,0.19008295238018036
20,0.9666081070899963,0.1966838538646698,0.01,0.9720279574394226,0.18185056746006012
21,0.9683655500411987,0.18845698237419128,0.01,0.9720279574394226,0.1744018942117691
22,0.9701230525970459,0.1809852421283722,0.01,0.9720279574394226,0.16754873096942902
23,0.9701230525970459,0.17411449551582336,0.01,0.9720279574394226,0.16129538416862488
24,0.9718804955482483,0.16773159801959991,0.01,0.9720279574394226,0.15553593635559082
25,0.9718804955482483,0.16195112466812134,0.01,0.9720279574394226,0.15023501217365265
26,0.9718804955482483,0.15655244886875153,0.01,0.9720279574394226,0.14534886181354523
27,0.9718804955482483,0.1516425609588623,0.01,0.9720279574394226,0.14080165326595306
28,0.9718804955482483,0.1469641625881195,0.01,0.9790209531784058,0.1366623491048813
29,0.9753954410552979,0.14263054728507996,0.01,0.9790209531784058,0.13279660046100616
30,0.9753954410552979,0.13854078948497772,0.01,0.9790209531784058,0.12916383147239685
31,0.9753954410552979,0.13467954099178314,0.01,0.9790209531784058,0.1256740540266037
32,0.9753954410552979,0.13100725412368774,0.01,0.9790209531784058,0.12249995768070221
33,0.9753954410552979,0.12759709358215332,0.01,0.9790209531784058,0.11946598440408707
34,0.9771528840065002,0.12434446066617966,0.01,0.9790209531784058,0.1166485995054245
35,0.9771528840065002,0.1213112622499466,0.01,0.9790209531784058,0.11399691551923752
36,0.9789103865623474,0.1184469684958458,0.01,0.9860140085220337,0.11140527576208115
37,0.9806678295135498,0.11572922766208649,0.01,0.9860140085220337,0.10902701318264008
38,0.9789103865623474,0.11307492107152939,0.01,0.9860140085220337,0.10669711977243423
39,0.9806678295135498,0.11052225530147552,0.01,0.9860140085220337,0.1045314371585846
40,0.9806678295135498,0.10825520753860474,0.01,0.9860140085220337,0.10248809307813644
41,0.9806678295135498,0.10596498101949692,0.01,0.9860140085220337,0.10050540417432785
42,0.9806678295135498,0.10385902971029282,0.01,0.9860140085220337,0.09866754710674286
43,0.9806678295135498,0.10180310904979706,0.01,0.9860140085220337,0.0968700498342514
44,0.9806678295135498,0.09978500753641129,0.01,0.9930070042610168,0.09513113647699356
45,0.9806678295135498,0.09787856042385101,0.01,0.9930070042610168,0.09344890713691711
46,0.9806678295135498,0.09605176746845245,0.01,0.9930070042610168,0.09177225083112717
47,0.9806678295135498,0.09427410364151001,0.01,0.9930070042610168,0.09022071957588196
48,0.9806678295135498,0.09260384738445282,0.01,0.9930070042610168,0.08875283598899841
49,0.9806678295135498,0.09099005907773972,0.01,0.9930070042610168,0.08732655644416809
50,0.9806678295135498,0.08943036943674088,0.01,0.9930070042610168,0.08596866577863693
51,0.982425332069397,0.08786992728710175,0.01,0.9930070042610168,0.0846404880285263
52,0.982425332069397,0.0864206925034523,0.01,0.9930070042610168,0.08348975330591202
53,0.982425332069397,0.08497757464647293,0.01,0.9930070042610168,0.08226791769266129
54,0.982425332069397,0.08365166187286377,0.01,0.9930070042610168,0.0812104120850563
55,0.982425332069397,0.08234716951847076,0.01,0.9930070042610168,0.08003491908311844
56,0.982425332069397,0.08109882473945618,0.01,0.9930070042610168,0.07892531901597977
57,0.982425332069397,0.07986947149038315,0.01,0.9930070042610168,0.0778060331940651
58,0.982425332069397,0.07865723222494125,0.01,0.9930070042610168,0.07670515775680542
59,0.982425332069397,0.07750172913074493,0.01,0.9930070042610168,0.0756724402308464
60,0.982425332069397,0.0764443501830101,0.01,0.9930070042610168,0.0747239887714386
